ID,OP_CARRIER,AIRLINE,SUM
0,WN,Southwest Airlines Co.,1261855
1,DL,Delta Air Lines Inc.,875881
2,AA,American Airlines Inc.,725984
3,OO,Skywest Airlines Inc.,588353
4,EV,Atlantic Southeast Airlines,571977
5,UA,United Air Lines Inc.,515723
6,MQ,American Eagle Airlines Inc.,294632
7,B6,JetBlue Airways,267048
8,US,US Airways Inc.,198715
9,AS,Alaska Airlines Inc.,172521
10,NK,Spirit Air Lines,117379
11,F9,Frontier Airlines Inc.,90836
12,HA,Hawaiian Airlines Inc.,76272
13,VX,Virgin America,61903
